,County,Year,Total Number of PA.gov Overdoses Per County/Year,Percent Narcan Admin Per County/Year,Percent Survive Overdose Per County/Year,%Arrests Fentanyl,Legal Opiod Dispense per Person,Risky Opiod Prescribe per Person
74,Erie,2020,180,0.7833333333333333,0.8055555555555556,0.003160709944079747,1.464031475656758,0.09846736815719369
75,Erie,2021,351,0.7777777777777778,0.8547008547008547,0.011532125205930808,1.0789898395317414,0.06870412977756613
76,York,2018,436,0.8371559633027523,0.8256880733944955,0.0014265335235378032,1.0357104360285514,0.12531826885579203
77,York,2019,413,0.8256658595641646,0.8329297820823245,0.00431463657484235,0.927931767293696,0.10008811711557758
78,York,2020,530,0.8132075471698114,0.8150943396226416,0.002849002849002849,0.8504326107817491,0.08987986943628706
79,York,2021,193,0.844559585492228,0.844559585492228,0.006509078451524495,0.6150168643743509,0.06203651876648745
80,Lebanon,2018,67,0.5970149253731343,0.8059701492537313,0.0,1.248715315830989,0.14217762482810611
81,Lebanon,2019,76,0.7631578947368421,0.881578947368421,0.0020781379883624274,1.1238132866107764,0.1125612710024641
82,Lebanon,2020,118,0.788135593220339,0.864406779661017,0.00803023145961266,1.0000868369433955,0.09556879535108231
83,Lebanon,2021,97,0.711340206185567,0.8556701030927835,0.004424778761061947,0.7239984634886951,0.06768079768601884
84,Monroe,2018,55,0.4727272727272727,0.6363636363636364,9.801038910124473e-05,1.2540874607163437,0.1594142947952497
85,Monroe,2021,96,0.5833333333333334,0.7083333333333334,0.0005777007510109763,0.7066627606741639,0.06923725140114183
86,Monroe,2019,116,0.646551724137931,0.7155172413793104,0.000658906215681968,1.090511623209586,0.12196944043439258
87,Monroe,2020,119,0.6722689075630253,0.7478991596638656,0.00035075412136092597,0.9927252906544999,0.1024466390669946
88,Franklin,2018,67,0.7014925373134329,0.7761194029850746,0.0011092623405435386,1.2158352358720468,0.14193039273529487
89,Franklin,2019,51,0.5294117647058824,0.6470588235294118,0.0033222591362126247,1.0569405894877253,0.10716517456327117
90,Franklin,2020,79,0.5822784810126582,0.759493670886076,0.01079136690647482,0.9041176281969063,0.08703344745485211
91,Franklin,2021,73,0.6027397260273972,0.7123287671232876,0.011857707509881422,0.6664999947329605,0.06142687212683093
92,Lancaster,2018,179,0.7206703910614525,0.776536312849162,0.000819000819000819,1.0220124090389595,0.13468257671108025
93,Lancaster,2019,182,0.7197802197802198,0.8021978021978022,0.001900688999762414,0.9337253519089159,0.11118817180967261
94,Lancaster,2020,147,0.7210884353741497,0.7551020408163265,0.0026954177897574125,0.8636430710472636,0.09999373245564068
95,Lancaster,2021,133,0.7368421052631579,0.7744360902255639,0.0026586905948820204,0.6275324125254981,0.06895525495718864
96,Berks,2018,94,0.6808510638297872,0.7340425531914894,0.0,1.0217859199858226,0.12543680876019297
97,Berks,2019,77,0.7142857142857143,0.7142857142857143,0.006782945736434108,0.9126462227963689,0.09816807314462667
98,Berks,2020,86,0.6511627906976745,0.6627906976744186,0.002616088947024199,0.8243965824800804,0.083916689111699
99,Berks,2021,61,0.6885245901639344,0.6721311475409836,0.004804392587508579,0.6012136109175957,0.05976089551596483
100,Mifflin,2018,13,0.6153846153846154,0.5384615384615384,0.0,1.9629250373837852,0.1866291745226795
101,Mifflin,2019,3,0.3333333333333333,0.3333333333333333,0.0,1.6714723793424788,0.1333710421949158
102,Mifflin,2020,10,0.7,0.9,0.0,1.2611982315844223,0.11219828016533386
103,Mifflin,2021,10,0.7,0.8,0.0011098779134295228,0.8702271018139263,0.06987763831879158
104,Westmoreland,2018,104,0.6923076923076923,0.7596153846153846,0.00045955882352941176,1.605487547333666,0.16783980849426075
105,Westmoreland,2019,121,0.6528925619834711,0.7107438016528925,0.0014977533699450823,1.449635879694245,0.12902639970901955
106,Westmoreland,2020,150,0.6666666666666666,0.6933333333333334,0.0013384124369401832,1.318048034331182,0.10764207964022184
107,Westmoreland,2021,145,0.6275862068965518,0.6206896551724138,0.00043730867745361406,0.9520999524027034,0.07286363803825886
108,Crawford,2018,19,0.47368421052631576,0.47368421052631576,0.0014977533699450823,1.812502799685482,0.1773693678667588
109,Crawford,2019,18,0.6111111111111112,0.6666666666666666,0.00398406374501992,1.5849270890419118,0.14183075603421572
110,Crawford,2020,19,0.5263157894736842,0.6842105263157895,0.003416856492027335,1.4538456956324906,0.1257656699092187
111,Crawford,2021,31,0.6129032258064516,0.5806451612903226,0.004244205027750571,1.060827953846887,0.08854664350990017
112,Mercer,2018,100,0.89,0.9,0.009900990099009901,1.842137331453566,0.19097630408849364
113,Mercer,2019,36,0.9722222222222222,0.8333333333333334,0.0004161464835622139,1.6434922098109388,0.15367801756859342
114,Mercer,2020,14,0.8571428571428571,0.9285714285714286,0.006622516556291391,1.5308439973972454,0.1390315271868561
115,Mercer,2021,18,0.8888888888888888,0.7777777777777778,0.005952380952380952,1.1025725480063622,0.09740939369874019
116,Luzerne,2018,193,0.8134715025906736,0.8393782383419689,0.0014265335235378032,1.514135610607075,0.18149105941755683
117,Luzerne,2019,170,0.7941176470588235,0.8117647058823529,0.006579796155334795,1.298740271626627,0.14219208584924783
118,Luzerne,2020,204,0.7450980392156863,0.8137254901960784,0.011665586519766688,1.1610212104645663,0.11649606343989753
119,Luzerne,2021,178,0.8033707865168539,0.8033707865168539,0.011888219854871082,0.9684787315828915,0.07995889665167663
120,Susquehanna,2018,10,0.4,0.4,0.009900990099009901,1.33272935421762,0.20355362439506688
121,Susquehanna,2019,6,0.8333333333333334,1.0,0.009900990099009901,1.0950949679970858,0.15442602903679034
122,Susquehanna,2020,12,0.8333333333333334,0.75,0.002685078634445723,0.9867089035749597,0.13773828148280168
123,Susquehanna,2021,11,0.5454545454545454,0.5454545454545454,0.0027198549410698096,0.7272716227324765,0.09620974274967477
124,Elk,2018,7,0.7142857142857143,0.7142857142857143,0.0,1.9031490803484994,0.25391513391416587
125,Elk,2019,7,0.8571428571428571,1.0,0.0,1.6850342045821232,0.19478573733462407
126,Elk,2020,22,0.6818181818181818,0.9090909090909091,0.0,1.5044959664407873,0.16098851777508874
127,Elk,2021,25,0.8,0.76,0.0,1.1069523403033237,0.11156067967353986
128,Lycoming,2018,39,0.6923076923076923,0.8461538461538461,0.0008326394671107411,1.6399328300697096,0.16649980733527164
129,Lycoming,2019,34,0.6176470588235294,0.7941176470588235,0.0022449488650536295,1.4532299365957895,0.127964321995306
130,Lycoming,2020,45,0.4666666666666667,0.6444444444444445,0.0,1.3330797456825585,0.10920889072485725
131,Lycoming,2021,31,0.5483870967741935,0.7741935483870968,0.0030938466827088347,0.9627365898255509,0.07448039883862578
132,Snyder,2018,8,0.25,0.375,,1.341763136702235,0.15030954298369237
133,Snyder,2019,3,0.3333333333333333,0.6666666666666666,0.0,1.15302546808939,0.1141035836521039
134,Snyder,2020,5,0.6,0.8,,1.028180239581236,0.09350699195565734
135,Snyder,2021,4,0.75,0.75,0.001996007984031936,0.7337155808938997,0.06022452536302094
136,Lackawanna,2018,28,0.6785714285714286,0.6785714285714286,0.0,1.8857031626338607,0.2577741597806351
137,Lackawanna,2019,17,0.5882352941176471,0.5294117647058824,0.0,1.6126569274094935,0.20153967651091267
138,Lackawanna,2020,28,0.7142857142857143,0.75,0.0015360983102918587,1.4066763626931484,0.16891484814044724
139,Lackawanna,2021,57,0.7368421052631579,0.7719298245614035,0.0013026487190620929,0.97590124352466,0.11379739714481046
140,Lawrence,2018,29,0.7586206896551724,0.8620689655172413,0.0016638935108153079,1.6034557917973742,0.20523329847798305
141,Lawrence,2019,20,0.75,0.6,0.0,1.362755199256419,0.15399825723248517
142,Lawrence,2020,25,0.6,0.72,0.0024937655860349127,1.2489196003253165,0.1318339710006971
143,Lawrence,2021,20,0.35,0.75,0.0014265335235378032,0.912552657615894,0.08881556297906355
144,Wayne,2018,13,0.6153846153846154,0.5384615384615384,0.000434593654932638,1.7449365653406312,0.24131560942234387
145,Wayne,2019,11,0.2727272727272727,0.45454545454545453,0.0,1.5246988564167725,0.19619861206138206
146,Wayne,2020,12,0.5,0.6666666666666666,0.0,1.4205846935783402,0.16787144338969798
147,Wayne,2021,9,0.5555555555555556,0.4444444444444444,0.0016638935108153079,0.9989193524582152,0.11852416800058646
148,Juniata,2018,3,0.0,0.3333333333333333,0.0,1.6266629801352674,0.21063252371432217
149,Juniata,2019,4,0.0,0.25,0.0,1.4459253902760645,0.17065847122378663
150,Juniata,2020,5,0.2,0.8,0.01639344262295082,1.2728733676464332,0.1452229582827853
151,Juniata,2021,3,0.3333333333333333,1.0,0.0,0.8944038521587477,0.097991502297418
152,Perry,2018,40,0.45,0.725,0.0014265335235378032,1.3234341869900965,0.19409864316565598
153,Perry,2021,38,0.631578947368421,0.7368421052631579,0.0022172949002217295,0.7783157698507918,0.07722407737230051
154,Perry,2019,25,0.48,0.8,0.009900990099009901,1.1867191658304612,0.14744230181929235
155,Perry,2020,31,0.3870967741935484,0.6129032258064516,0.0036231884057971015,1.09830003053968,0.11468084797587365
156,Northampton,2018,79,0.9367088607594937,0.8607594936708861,0.006211180124223602,1.1378865701020286,0.13671453358512994
