,Area Name,County Code,State FIPS Code,County FIPS Code,Calendar Year,Benchmark Year,Labor Force,Employed,Unemployed,Unemployment Rate,Latitude,Longitude,Georeferenced Latitude & Longitude,Pennsylvania County Boundaries,Pa Senatorial Districts (2017-01),Municipality Boundary,Pa House Districts (2017-01),Pa School Districts (2017)
145,Washington County,63,42,125,2018,2018,106000,101400,4600,4.3,40.19109663,-80.25180083,"{'type': 'Point', 'coordinates': [-80.25180083, 40.19109663]}",52,12,1132,4,351
146,McKean County,42,42,083,2018,2018,17900,17000,900,4.8,41.81037074,-78.5712202,"{'type': 'Point', 'coordinates': [-78.5712202, 41.81037074]}",47,14,1778,14,424
147,Montour County,47,42,093,2018,2018,9000,8700,300,3.5,41.02801824,-76.66470527,"{'type': 'Point', 'coordinates': [-76.66470527, 41.02801824]}",58,22,963,54,64
148,Clearfield County,17,42,033,2016,2017,36300,33700,2600,7.3,41.000429,-78.47558343,"{'type': 'Point', 'coordinates': [-78.47558343, 41.000429]}",8,16,276,19,141
149,Tioga County,59,42,117,2017,2017,19200,18100,1200,6,41.77333834,-77.25788076,"{'type': 'Point', 'coordinates': [-77.25788076, 41.77333834]}",48,14,97,77,477
150,Indiana County,32,42,063,2016,2017,40200,37300,2900,7.3,40.65295497,-79.09333493,"{'type': 'Point', 'coordinates': [-79.09333493, 40.65295497]}",19,15,415,27,269
151,Columbia County,19,42,037,2018,2018,33500,31900,1600,4.8,41.04912086,-76.4100218,"{'type': 'Point', 'coordinates': [-76.4100218, 41.04912086]}",10,22,1073,90,24
152,Cameron County,12,42,023,2016,2017,2200,2100,200,7.3,41.43880265,-78.20916932,"{'type': 'Point', 'coordinates': [-78.20916932, 41.43880265]}",3,14,1009,14,105
153,Bedford County,05,42,009,2017,2017,23800,22500,1200,5.2,40.00737536,-78.49116474,"{'type': 'Point', 'coordinates': [-78.49116474, 40.00737536]}",43,16,1549,31,3
154,Luzerne County,40,42,079,2018,2018,157800,149300,8500,5.4,41.17836439,-75.9919961,"{'type': 'Point', 'coordinates': [-75.9919961, 41.17836439]}",14,30,406,92,52
155,Bradford County,08,42,015,2018,2018,28900,27600,1300,4.4,41.79117814,-76.51825624,"{'type': 'Point', 'coordinates': [-76.51825624, 41.79117814]}",34,21,442,88,349
156,Mifflin County,44,42,087,2016,2017,20800,19600,1200,5.7,40.61274928,-77.62003089,"{'type': 'Point', 'coordinates': [-77.62003089, 40.61274928]}",55,18,587,36,295
157,Indiana County,32,42,063,2017,2017,39200,36900,2300,5.9,40.65295497,-79.09333493,"{'type': 'Point', 'coordinates': [-79.09333493, 40.65295497]}",19,15,415,27,269
158,Crawford County,20,42,039,2017,2017,39400,37200,2200,5.5,41.68546907,-80.11321083,"{'type': 'Point', 'coordinates': [-80.11321083, 41.68546907]}",16,3,1995,47,344
159,York County,67,42,133,2018,2018,234100,225100,9000,3.9,39.92192531,-76.72576052,"{'type': 'Point', 'coordinates': [-76.72576052, 39.92192531]}",12,24,470,136,43
160,Lawrence County,37,42,073,2017,2017,40600,38100,2500,6.1,40.99325035,-80.33754114,"{'type': 'Point', 'coordinates': [-80.33754114, 40.99325035]}",27,2,622,22,231
161,Lycoming County,41,42,081,2016,2017,58700,54800,3900,6.6,41.34459792,-77.06942457,"{'type': 'Point', 'coordinates': [-77.06942457, 41.34459792]}",15,21,1905,75,441
162,Forest County,27,42,053,2016,2017,1900,1700,100,7.9,41.51357876,-79.23780995,"{'type': 'Point', 'coordinates': [-79.23780995, 41.51357876]}",32,5,207,60,186
163,Delaware County,23,42,045,2018,2018,295900,284000,11900,4,39.91657867,-75.40627712,"{'type': 'Point', 'coordinates': [-75.40627712, 39.91657867]}",28,35,782,63,380
164,Perry County,50,42,099,2018,2018,24300,23400,900,3.7,40.40415317,-77.25907385,"{'type': 'Point', 'coordinates': [-77.25907385, 40.40415317]}",61,23,1648,37,485
165,Snyder County,55,42,109,2016,2017,20500,19500,1000,4.7,40.77113737,-77.07255968,"{'type': 'Point', 'coordinates': [-77.07255968, 40.77113737]}",65,22,2255,72,254
166,Montour County,47,42,093,2017,2017,9100,8700,400,3.9,41.02801824,-76.66470527,"{'type': 'Point', 'coordinates': [-76.66470527, 41.02801824]}",58,22,963,54,64
167,Lancaster County,36,42,071,2018,2018,281400,271900,9500,3.4,40.04590796,-76.25138768,"{'type': 'Point', 'coordinates': [-76.25138768, 40.04590796]}",23,25,222,144,74
168,Beaver County,04,42,007,2018,2018,84100,80200,3800,4.5,40.68349245,-80.35107356,"{'type': 'Point', 'coordinates': [-80.35107356, 40.68349245]}",42,2,379,23,2
169,Elk County,24,42,047,2016,2017,16300,15400,900,5.5,41.42819416,-78.64947713,"{'type': 'Point', 'coordinates': [-78.64947713, 41.42819416]}",29,14,1258,15,405
170,Bucks County,09,42,017,2016,2017,340900,325200,15700,4.6,40.33501133,-75.11291241,"{'type': 'Point', 'coordinates': [-75.11291241, 40.33501133]}",35,40,430,145,22
171,Bradford County,08,42,015,2017,2017,29400,27900,1500,5.1,41.79117814,-76.51825624,"{'type': 'Point', 'coordinates': [-76.51825624, 41.79117814]}",34,21,442,88,349
172,Philadelphia County,51,42,101,2017,2017,704100,660100,44000,6.2,40.00444354,-75.140236,"{'type': 'Point', 'coordinates': [-75.140236, 40.00444354]}",13,46,1069,182,365
173,Susquehanna County,58,42,115,2016,2017,20900,19700,1200,5.7,41.8205686,-75.80250303,"{'type': 'Point', 'coordinates': [-75.80250303, 41.8205686]}",44,21,2466,89,321
174,Chester County,15,42,029,2017,2017,281100,271100,10100,3.6,39.97487056,-75.75626498,"{'type': 'Point', 'coordinates': [-75.75626498, 39.97487056]}",6,32,2415,147,69
