,Total Population,State,PUMA,Male Polulation,Female Population,Grandparents Living With Grandchildren,Grandparents Responsible for Grandchildren,Childcare Employees Total
0,tabulate,state,public use microdata area,tabulate,tabulate,tabulate,tabulate,tabulate
413,110679,12,01103,52451,58228,544,178,886
414,126717,12,01104,65628,61089,599,334,389
415,182286,12,01105,91520,90766,1482,905,742
416,184612,12,01106,87970,96642,1148,881,1354
417,110730,12,01107,50756,59974,966,353,799
418,0,12,01200,0,0,0,0,0
419,0,12,01300,0,0,0,0,0
420,0,12,01400,0,0,0,0,0
421,0,12,01501,0,0,0,0,0
422,0,12,01502,0,0,0,0,0
423,0,12,01600,0,0,0,0,0
424,0,12,01700,0,0,0,0,0
425,0,12,01801,0,0,0,0,0
426,0,12,01802,0,0,0,0,0
427,0,12,01901,0,0,0,0,0
428,0,12,01902,0,0,0,0,0
429,0,12,01903,0,0,0,0,0
430,0,12,02001,0,0,0,0,0
431,0,12,02002,0,0,0,0,0
432,0,12,02003,0,0,0,0,0
433,119394,12,02101,55806,63588,391,195,354
434,121420,12,02102,59344,62076,580,350,324
435,138587,12,02103,71365,67222,1048,374,482
436,0,12,02104,0,0,0,0,0
437,0,12,02201,0,0,0,0,0
438,0,12,02202,0,0,0,0,0
439,0,12,02203,0,0,0,0,0
440,0,12,02204,0,0,0,0,0
441,0,12,02205,0,0,0,0,0
442,0,12,02206,0,0,0,0,0
443,0,12,02207,0,0,0,0,0
444,189818,12,02300,101214,88604,717,490,905
445,0,12,02401,0,0,0,0,0
446,0,12,02402,0,0,0,0,0
447,0,12,02403,0,0,0,0,0
448,0,12,02404,0,0,0,0,0
449,0,12,02501,0,0,0,0,0
450,0,12,02502,0,0,0,0,0
451,0,12,02503,0,0,0,0,0
452,0,12,02601,0,0,0,0,0
453,0,12,02602,0,0,0,0,0
454,0,12,02603,0,0,0,0,0
455,0,12,02604,0,0,0,0,0
456,0,12,02605,0,0,0,0,0
457,0,12,02606,0,0,0,0,0
458,0,12,02607,0,0,0,0,0
459,0,12,02608,0,0,0,0,0
460,0,12,02701,0,0,0,0,0
461,0,12,02702,0,0,0,0,0
462,0,12,02703,0,0,0,0,0
463,0,12,02704,0,0,0,0,0
464,0,12,02705,0,0,0,0,0
465,0,12,02706,0,0,0,0,0
466,0,12,02707,0,0,0,0,0
467,0,12,02708,0,0,0,0,0
468,0,12,02801,0,0,0,0,0
469,0,12,02802,0,0,0,0,0
470,0,12,02901,0,0,0,0,0
471,0,12,02902,0,0,0,0,0
472,0,12,03000,0,0,0,0,0
473,0,12,03100,0,0,0,0,0
474,0,12,03200,0,0,0,0,0
